CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ADRECA,TELEFON
M009,"Medi ambient","Horts urbans","425821,501","4583114,795","425729,612","4582913,854","2.111585","41.394331","Hort Urbà de Pedralbes",04,21,"Les Corts",Pedralbes,"C Castellet, 2",010
M009,"Medi ambient","Horts urbans","427454,616","4586506,529","427362,713","4586305,556","2.13071","41.425028","Hort Urbà Masia Can Soler",07,39,Horta-Guinardó,"Sant Genís dels Agudells","Ctra Sant Cugat, 114*132",010
M009,"Medi ambient","Horts urbans","432643,055","4586584,03","432551,104","4586383,055","2.192788","41.426178","Hort-Jardí Urbà La Ferroviària",09,61,"Sant Andreu","la Sagrera","C Camp del Ferro, 17",null
M009,"Medi ambient","Horts urbans","428680,385","4579119,659","428588,469","4578918,754","2.146249","41.358608","Hort Urbà Masia Can Mestres",03,11,Sants-Montjuïc,"el Poble Sec","C Foc, 132",010
M009,"Medi ambient","Horts urbans","433173,05","4589193,17","433081,095","4588992,17","2.198841","41.449722","Hort Urbà Baró de Viver",09,57,"Sant Andreu","la Trinitat Vella","Pg Santa Coloma, 125",010
M009,"Medi ambient","Horts urbans","432805,154","4588401,255","432713,202","4588200,263","2.194525","41.442559","Hort Urbà Parc de la Trinitat",09,60,"Sant Andreu","Sant Andreu","Pg Santa Coloma, 60",010
M009,"Medi ambient","Horts urbans","431603,892","4583984,37","431511,95","4583783,419","2.180647","41.402677","Hort Urbà Sagrada Família",02,06,Eixample,"la Sagrada Família","C Padilla, 199*201",010
M009,"Medi ambient","Horts urbans","432274,631","4589561,58","432182,685","4589360,577","2.188045","41.452965","La Casa de l'Aigua-Hort Urbà",08,53,"Nou Barris","la Trinitat Nova","C Garbí, 2*4",010
M009,"Medi ambient","Horts urbans","433089,246","4585983,306","432997,291","4585782,336","2.198194","41.420805","Centre Experimental i Educatiu Agricultura Biològica i Jardineria - Masia de Can Cadena-Hort Urbà Masia Can Cadena",10,72,"Sant Martí","Sant Martí de Provençals","C Menorca, 27",010
M009,"Medi ambient","Horts urbans","430262,768","4587477,304","430170,839","4587276,321","2.164201","41.43402","Hort Urbà de Can Peguera",08,47,"Nou Barris","Can Peguera","C Camós, 3",010
M009,"Medi ambient","Horts urbans","424752,724","4585400,799","424660,846","4585199,837","2.098517","41.414821","Hort Urbà Can Pujades",05,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","Camí Múrgola, 13*19",010
M009,"Medi ambient","Horts urbans","430622,932","4581008,85","430530,998","4580807,927","2.169254","41.375793","Hort Urbà de Sant Pau del Camp",01,01,"Ciutat Vella","el Raval","C Abat Safont, 12",010
M009,"Medi ambient","Horts urbans","428869,777","4585211,83","428777,861","4585010,869","2.147797","41.413494","Hort Urbà de Turull",06,28,Gràcia,"Vallcarca i els Penitents","Ptge Turull, 10*12",010
M009,"Medi ambient","Horts urbans","425788,628","4581211,693","425696,739","4581010,769","2.111425","41.377188","Hort Urbà Torre Melina",04,16,"Les Corts","la Bordeta","Camí Torre Melina, 15*LU",010
M009,"Medi ambient","Horts urbans","427758,269","4585540,655","427666,363","4585339,691","2.134459","41.416356","Hort Urbà Collserola",05,25,"Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","C Carles Pirozzini, 2",010
M009,"Medi ambient","Horts urbans","428908,953","4585446,661","428817,036","4585245,697","2.148238","41.415613","Hort Urbà de l'Avi",06,28,Gràcia,"Vallcarca i els Penitents","C Torrent del Remei, 2",010
